name,paper_label,ebm_label,ebm_pval,score
IC1151,nw,NW,1.453E-15,1
IC1199,ne,E,5.912E-43,1
IC1256,n,N,6.042E-07,1
IC1528,se,N,3.975E-06,-1
IC2095,se,SE,7.618E-03,1
IC2487,ne,E,1.298E-111,1
IC4566,sw,SW,4.920E-37,1
IC5309,se,E,1.245E-13,1
IC674,sw,SW,9.100E-46,1
IC776,sw,S,3.678E-12,1
NGC1,sw,SW,7.376E-107,1
NGC1012,se,SE,9.262E-17,1
NGC1042,s,S,2.038E-14,1
NGC1068,w,SE,1.279E-92,-1
NGC1073,sw,SE,1.097E-63,0
NGC1087,nw,W,3.918E-09,1
NGC160,se,SE,4.099E-09,1
NGC1614,w,SE,1.869E-15,-1
NGC1645,s,S,8.643E-05,1
NGC1677,sw,SW,8.552E-36,1
NGC171,n,N,8.178E-22,1
NGC177,nw,W,4.879E-30,1
NGC180,nw,W,3.339E-17,1
NGC192,nw,SW,1.171E-168,0
NGC214,nw,NW,4.994E-17,1
NGC217,ne,N,4.136E-57,1
NGC23,se,E,2.231E-69,1
NGC234,nw,SE,4.256E-28,-1
NGC237,e,E,7.224E-47,1
NGC2449,sw,SW,9.012E-84,1
NGC2486,n,N,1.954E-05,1
NGC2487,sw,NW,5.575E-04,0
NGC2500,nw,W,2.550E-36,1
NGC2540,ne,NE,6.294E-18,1
NGC2552,nw,N,1.826E-15,1
NGC2553,se,NW,2.877E-14,-1
NGC257,n,N,1.951E-16,1
NGC2604,sw,NW,5.659E-114,0
NGC2608,se,S,3.942E-09,1
NGC2730,se,S,4.535E-12,1
NGC2776,sw,SW,6.692E-28,1
NGC2805,sw,NW,1.996E-08,0
NGC2906,nw,N,4.421E-299,1
NGC2916,nw,W,3.319E-297,1
NGC2964,n,N,1.830E-12,1
NGC2998,nw,NW,4.558E-07,1
NGC3057,se,E,1.867E-05,1
NGC3106,ne,NE,3.272E-17,1
NGC3166,nw,N,4.890E-162,1
NGC3206,w,NE,1.589E-06,-1
NGC3319,se,NW,1.704E-11,-1
NGC3344,sw,SW,6.584E-04,1
NGC3346,ne,N,5.256E-04,1
NGC3351,se,SW,1.301E-06,0
NGC3359,w,W,4.512E-117,1
NGC3367,nw,SE,4.290E-02,-1
NGC3381,e,SE,1.104E-35,1
NGC3395,se,E,6.203E-08,1
NGC3423,nw,SE,1.883E-15,-1
NGC3433,nw,W,6.293E-07,1
NGC3445,sw,NE,2.817E-10,-1
NGC3504,e,NE,1.186E-21,1
NGC36,ne,E,9.347E-144,1
NGC3614,ne,N,7.442E-115,1
NGC3631,ne,NE,3.085E-11,1
NGC3642,ne,SW,3.203E-106,-1
NGC3687,sw,NE,1.529E-01,-1
NGC3811,w,W,7.417E-20,1
NGC3893,sw,NE,1.775E-23,-1
NGC3898,ne,N,1.391E-70,1
NGC3938,nw,NW,4.019E-25,1
NGC3992,nw,SE,4.280E-67,-1
NGC3994,w,W,3.099E-24,1
NGC4030,nw,NW,2.958E-181,1
NGC4047,ne,N,5.815E-22,1
NGC4051,sw,SW,2.536E-10,1
NGC4064,s,W,1.828E-33,0
NGC4102,se,SE,0.000E+00,1
NGC4123,ne,NE,2.991E-12,1
NGC4136,n,NE,1.210E-12,1
NGC4151,se,NW,1.226E-02,-1
NGC4185,ne,W,2.916E-04,-1
NGC4204,nw,SW,2.740E-21,0
NGC4210,sw,S,2.721E-11,1
NGC4254,se,E,3.706E-18,1
NGC428,sw,NE,4.773E-17,-1
NGC4299,nw,W,6.842E-23,1
NGC4303,ne,E,5.051E-44,1
NGC4351,nw,S,8.376E-40,-1
NGC444,ne,E,1.176E-31,1
NGC4457,se,S,3.657E-45,1
NGC4470,ne,W,8.917E-11,-1
NGC4490,sw,NE,3.888E-100,-1
NGC4496A,se,S,0.000E+00,1
NGC450,nw,NW,9.062E-10,1
NGC4522,se,NW,6.013E-55,-1
NGC4536,ne,NE,2.517E-103,1
NGC4540,w,NW,7.507E-119,1
NGC4548,sw,S,1.275E-07,1
NGC4618,sw,SE,7.934E-70,0
NGC4644,nw,NW,2.011E-86,1
NGC4647,n,N,3.056E-35,1
NGC4654,ne,SW,2.932E-33,-1
NGC4682,se,S,2.157E-05,1
NGC4691,s,SE,3.903E-39,1
NGC4701,se,NW,5.812E-28,-1
NGC4711,nw,NW,1.000E-11,1
NGC4725,se,SE,1.676E-50,1
NGC4736,ne,SW,1.773E-32,-1
NGC477,sw,SW,9.997E-07,1
NGC4814,sw,S,5.362E-296,1
NGC488,e,W,4.064E-41,-1
NGC4904,nw,E,4.253E-05,-1
NGC496,nw,SE,3.516E-13,-1
NGC4961,n,NE,6.087E-58,1
NGC497,sw,SW,2.759E-93,1
NGC5000,se,SE,6.967E-05,1
NGC5016,se,SE,5.299E-10,1
NGC5056,w,E,1.172E-13,-1
NGC5204,w,E,4.870E-86,-1
NGC5205,ne,NE,1.400E-39,1
NGC5218,se,N,4.874E-18,-1
NGC5371,w,NE,8.972E-04,-1
NGC5378,s,SE,3.214E-62,1
NGC5383,sw,S,1.060E-40,1
NGC5394,nw,W,1.092E-01,1
NGC5406,sw,S,8.409E-16,1
NGC5457,nw,NW,1.714E-35,1
NGC5474,sw,S,2.117E-08,1
NGC5480,w,W,8.995E-45,1
NGC551,ne,NE,8.198E-76,1
NGC5520,nw,SE,4.685E-13,-1
NGC5630,s,N,2.253E-12,-1
NGC5633,nw,W,7.673E-12,1
NGC5657,ne,E,1.202E-06,1
NGC5668,ne,N,1.123E-16,1
NGC5669,se,N,1.024E-03,-1
NGC5682,sw,NE,4.179E-13,-1
NGC5720,ne,NE,1.550E-44,1
NGC5732,se,SE,8.734E-12,1
NGC5789,sw,E,7.962E-66,-1
NGC5850,sw,N,2.270E-08,-1
NGC5888,ne,E,1.375E-42,1
NGC5905,sw,S,5.612E-26,1
NGC5930,sw,SW,2.045E-11,1
NGC5934,w,W,1.032E-42,1
NGC5947,nw,NW,2.561E-05,1
NGC5964,ne,W,5.663E-10,-1
NGC5971,ne,NE,1.138E-01,1
NGC6004,n,N,6.953E-32,1
NGC6032,se,E,2.115E-02,1
NGC6060,ne,N,7.014E-99,1
NGC6063,ne,NE,8.800E-48,1
NGC6154,se,NE,5.591E-03,0
NGC6155,nw,SW,3.418E-68,0
NGC628,e,NW,3.261E-16,-1
NGC6301,ne,N,2.511E-15,1
NGC6478,nw,SE,3.176E-29,-1
NGC6497,sw,SW,2.423E-11,1
NGC6941,ne,NE,8.213E-17,1
NGC701,nw,NW,8.071E-55,1
NGC7047,sw,S,2.031E-33,1
NGC7217,n,N,3.840E-80,1
NGC7321,nw,NW,1.973E-64,1
NGC7489,sw,SW,7.660E-12,1
NGC7549,e,W,7.174E-16,-1
NGC7653,ne,E,8.130E-152,1
NGC7664,s,S,4.838E-61,1
NGC768,se,SE,6.809E-13,1
NGC7691,sw,W,8.896E-06,1
NGC7716,se,SE,5.636E-17,1
NGC7741,w,S,3.919E-23,0
NGC7743,n,S,2.298E-33,-1
NGC776,ne,NE,1.071E-38,1
NGC7819,s,S,5.198E-26,1
NGC7824,sw,W,4.027E-05,1
NGC853,se,SE,4.114E-54,1
NGC864,w,S,2.679E-03,0
NGC895,s,SW,2.733E-50,1
PGC02162,ne,NE,8.983E-11,1
PGC03512,ne,S,3.769E-09,-1
PGC05673,nw,NE,1.608E-10,0
PGC06855,ne,NE,2.007E-05,1
PGC07826,se,E,6.897E-03,1
PGC15531,nw,W,7.769E-03,1
PGC20938,se,NW,2.789E-05,-1
PGC23333,nw,SE,1.045E-05,-1
PGC23598,se,SE,5.892E-04,1
PGC23913,se,SW,4.922E-08,0
PGC24788,ne,N,7.093E-09,1
PGC26140,nw,NW,5.670E-23,1
PGC26517,se,W,2.353E-05,-1
PGC27792,sw,NE,7.003E-02,-1
PGC28310,e,SW,1.119E-01,-1
PGC28401,nw,SW,8.222E-02,0
PGC31159,sw,W,1.251E-02,1
PGC32638,nw,W,4.864E-03,1
PGC33465,n,N,1.609E-14,1
PGC36925,sw,SE,2.450E-08,0
PGC38268,nw,W,4.751E-05,1
PGC38908,sw,SW,1.061E-43,1
PGC39728,s,SW,1.035E-07,1
PGC46767,ne,W,8.786E-05,-1
PGC49906,w,E,5.385E-19,-1
PGC55750,nw,W,1.200E-06,1
PGC56010,ne,SW,5.445E-01,-1
PGC57931,se,N,3.457E-04,-1
PGC58410,nw,S,1.047E-14,-1
PGC71106,e,SE,1.817E-06,1
PGC72144,se,E,1.797E-01,1
PGC72453,se,S,1.390E-09,1
UGC10310,w,W,8.449E-36,1
UGC10796,sw,N,5.461E-07,-1
UGC1081,se,NW,1.048E-05,-1
UGC10811,n,N,4.843E-33,1
UGC1087,se,NE,2.072E-10,0
UGC11262,se,SE,1.062E-12,1
UGC12224,nw,W,1.468E-03,1
UGC12274,ne,SW,2.128E-22,-1
UGC12308,ne,NE,7.148E-12,1
UGC12391,nw,W,3.217E-02,1
UGC12494,se,SE,8.325E-08,1
UGC12816,ne,SW,3.066E-02,-1
UGC12864,ne,N,1.364E-04,1
